OBJECTID_1,AREA,PERIMETER,AREA_,PERIMETER_,PATDIST_,Shape_Leng,Id,Shape_Le_1,Shape_Area,Date,Day,Slot_idx,Slot_name,Zone,Demand_share_pct,Uniform_patrol_pct,Static_patrol_pct,Dynamic_patrol_pct,Gap_Uniform_pp,Gap_Static_pp,Gap_Dynamic_pp,x_Uniform,x_Static,x_Dynamic
0,0,0.0,0.0,0.0,8,0.0,0,36512.26058,50474445.6,2024-12-27,Friday,12,Fri_Day,Zone 8,22.8006,12.5,25.0,0.0,-10.3006,2.1994,-22.8006,1,2,0
1,178010000,74280.336,179083706.8,72239.18,6,62154.46179,0,77702.74022,174114587.3,2024-12-27,Friday,12,Fri_Day,Zone 6,0.3128,12.5,0.0,0.0,12.1872,-0.3128,-0.3128,1,0,0
2,200770000,136683.46,165825898.8,101163.413,5,95407.29323,0,96508.6204,214541486.8,2024-12-27,Friday,12,Fri_Day,Zone 5,3.7534,12.5,0.0,0.0,8.7466,-3.7534,-3.7534,1,0,0
3,86112944,71740.281,86057206.32,71796.883,1,42110.06137,0,45303.96967,74298506.31,2024-12-27,Friday,12,Fri_Day,Zone 1,27.4266,12.5,25.0,37.5,-14.9266,-2.4266,10.0734,1,2,3
4,67305832,34703.348,76690791.14,37459.463,2,37454.56745,0,37454.56745,76707238.04,2024-12-27,Friday,12,Fri_Day,Zone 2,4.4718,12.5,12.5,25.0,8.0282,8.0282,20.5282,1,1,2
5,59947220,41142.273,92364649.82,50245.298,4,47858.3022,0,47858.3022,107356467.6,2024-12-27,Friday,12,Fri_Day,Zone 4,37.6574,12.5,37.5,25.0,-25.1574,-0.1574,-12.6574,1,3,2
6,45315876,31739.078,68058519.84,37684.171,3,37928.22902,0,37928.22902,67972083.86,2024-12-27,Friday,12,Fri_Day,Zone 3,2.9812,12.5,0.0,0.0,9.5188,-2.9812,-2.9812,1,0,0
7,111950000,63800.801,111873112.2,63935.684,7,68562.3844,0,56555.18924,147528805.5,2024-12-27,Friday,12,Fri_Day,Zone 7,0.5962,12.5,0.0,12.5,11.9038,-0.5962,11.9038,1,0,1
