OBJECTID_1,AREA,PERIMETER,AREA_,PERIMETER_,PATDIST_,Shape_Leng,Id,Shape_Le_1,Shape_Area,Date,Day,Slot_idx,Slot_name,Zone,Demand_share_pct,Uniform_patrol_pct,Static_patrol_pct,Dynamic_patrol_pct,Gap_Uniform_pp,Gap_Static_pp,Gap_Dynamic_pp,x_Uniform,x_Static,x_Dynamic
0,0,0.0,0.0,0.0,8,0.0,0,36512.26058,50474445.6,2024-12-27,Friday,14,Fri_Ngt,Zone 8,4.0468,12.5,12.5,0.0,8.4532,8.4532,-4.0468,1,1,0
1,178010000,74280.336,179083706.8,72239.18,6,62154.46179,0,77702.74022,174114587.3,2024-12-27,Friday,14,Fri_Ngt,Zone 6,0.0,12.5,0.0,12.5,12.5,0.0,12.5,1,0,1
2,200770000,136683.46,165825898.8,101163.413,5,95407.29323,0,96508.6204,214541486.8,2024-12-27,Friday,14,Fri_Ngt,Zone 5,27.0806,12.5,0.0,0.0,-14.5806,-27.0806,-27.0806,1,0,0
3,86112944,71740.281,86057206.32,71796.883,1,42110.06137,0,45303.96967,74298506.31,2024-12-27,Friday,14,Fri_Ngt,Zone 1,9.7245,12.5,37.5,12.5,2.7755,27.7755,2.7755,1,3,1
4,67305832,34703.348,76690791.14,37459.463,2,37454.56745,0,37454.56745,76707238.04,2024-12-27,Friday,14,Fri_Ngt,Zone 2,9.7245,12.5,12.5,12.5,2.7755,2.7755,2.7755,1,1,1
5,59947220,41142.273,92364649.82,50245.298,4,47858.3022,0,47858.3022,107356467.6,2024-12-27,Friday,14,Fri_Ngt,Zone 4,42.4776,12.5,37.5,62.5,-29.9776,-4.9776,20.0224,1,3,5
6,45315876,31739.078,68058519.84,37684.171,3,37928.22902,0,37928.22902,67972083.86,2024-12-27,Friday,14,Fri_Ngt,Zone 3,5.5568,12.5,0.0,0.0,6.9432,-5.5568,-5.5568,1,0,0
7,111950000,63800.801,111873112.2,63935.684,7,68562.3844,0,56555.18924,147528805.5,2024-12-27,Friday,14,Fri_Ngt,Zone 7,1.3892,12.5,0.0,0.0,11.1108,-1.3892,-1.3892,1,0,0
