OBJECTID_1,AREA,PERIMETER,AREA_,PERIMETER_,PATDIST_,Shape_Leng,Id,Shape_Le_1,Shape_Area,Date,Day,Slot_idx,Slot_name,Zone,Demand_share_pct,Uniform_patrol_pct,Static_patrol_pct,Dynamic_patrol_pct,Gap_Uniform_pp,Gap_Static_pp,Gap_Dynamic_pp,x_Uniform,x_Static,x_Dynamic
0,0,0.0,0.0,0.0,8,0.0,0,36512.26058,50474445.6,2024-12-27,Friday,13,Fri_Eve,Zone 8,15.2924,12.5,0.0,0.0,-2.7924,-15.2924,-15.2924,1,0,0
1,178010000,74280.336,179083706.8,72239.18,6,62154.46179,0,77702.74022,174114587.3,2024-12-27,Friday,13,Fri_Eve,Zone 6,12.8,12.5,0.0,0.0,-0.3,-12.8,-12.8,1,0,0
2,200770000,136683.46,165825898.8,101163.413,5,95407.29323,0,96508.6204,214541486.8,2024-12-27,Friday,13,Fri_Eve,Zone 5,6.9844,12.5,12.5,0.0,5.5156,5.5156,-6.9844,1,1,0
3,86112944,71740.281,86057206.32,71796.883,1,42110.06137,0,45303.96967,74298506.31,2024-12-27,Friday,13,Fri_Eve,Zone 1,15.765,12.5,12.5,12.5,-3.265,-3.265,-3.265,1,1,1
4,67305832,34703.348,76690791.14,37459.463,2,37454.56745,0,37454.56745,76707238.04,2024-12-27,Friday,13,Fri_Eve,Zone 2,20.4895,12.5,0.0,12.5,-7.9895,-20.4895,-7.9895,1,0,1
5,59947220,41142.273,92364649.82,50245.298,4,47858.3022,0,47858.3022,107356467.6,2024-12-27,Friday,13,Fri_Eve,Zone 4,24.625,12.5,62.5,50.0,-12.125,37.875,25.375,1,5,4
6,45315876,31739.078,68058519.84,37684.171,3,37928.22902,0,37928.22902,67972083.86,2024-12-27,Friday,13,Fri_Eve,Zone 3,3.676,12.5,12.5,25.0,8.824,8.824,21.324,1,1,2
7,111950000,63800.801,111873112.2,63935.684,7,68562.3844,0,56555.18924,147528805.5,2024-12-27,Friday,13,Fri_Eve,Zone 7,0.3676,12.5,0.0,0.0,12.1324,-0.3676,-0.3676,1,0,0
