OBJECTID_1,AREA,PERIMETER,AREA_,PERIMETER_,PATDIST_,Shape_Leng,Id,Shape_Le_1,Shape_Area,Date,Day,Slot_idx,Slot_name,Zone,Demand_share_pct,Uniform_patrol_pct,Static_patrol_pct,Dynamic_patrol_pct,Gap_Uniform_pp,Gap_Static_pp,Gap_Dynamic_pp,x_Uniform,x_Static,x_Dynamic
0,0,0.0,0.0,0.0,8,0.0,0,36512.26058,50474445.6,2024-12-28,Saturday,16,Sat_Eve,Zone 8,4.2896,12.5,25.0,0.0,8.2104,20.7104,-4.2896,1,2,0
1,178010000,74280.336,179083706.8,72239.18,6,62154.46179,0,77702.74022,174114587.3,2024-12-28,Saturday,16,Sat_Eve,Zone 6,0.0,12.5,0.0,0.0,12.5,0.0,0.0,1,0,0
2,200770000,136683.46,165825898.8,101163.413,5,95407.29323,0,96508.6204,214541486.8,2024-12-28,Saturday,16,Sat_Eve,Zone 5,2.9779,12.5,0.0,0.0,9.5221,-2.9779,-2.9779,1,0,0
3,86112944,71740.281,86057206.32,71796.883,1,42110.06137,0,45303.96967,74298506.31,2024-12-28,Saturday,16,Sat_Eve,Zone 1,16.8913,12.5,37.5,12.5,-4.3913,20.6087,-4.3913,1,3,1
4,67305832,34703.348,76690791.14,37459.463,2,37454.56745,0,37454.56745,76707238.04,2024-12-28,Saturday,16,Sat_Eve,Zone 2,23.7233,12.5,25.0,25.0,-11.2233,1.2767,1.2767,1,2,2
5,59947220,41142.273,92364649.82,50245.298,4,47858.3022,0,47858.3022,107356467.6,2024-12-28,Saturday,16,Sat_Eve,Zone 4,33.6252,12.5,12.5,50.0,-21.1252,-21.1252,16.3748,1,1,4
6,45315876,31739.078,68058519.84,37684.171,3,37928.22902,0,37928.22902,67972083.86,2024-12-28,Saturday,16,Sat_Eve,Zone 3,10.4658,12.5,0.0,0.0,2.0342,-10.4658,-10.4658,1,0,0
7,111950000,63800.801,111873112.2,63935.684,7,68562.3844,0,56555.18924,147528805.5,2024-12-28,Saturday,16,Sat_Eve,Zone 7,8.027,12.5,0.0,12.5,4.473,-8.027,4.473,1,0,1
