OBJECTID_1,AREA,PERIMETER,AREA_,PERIMETER_,PATDIST_,Shape_Leng,Id,Shape_Le_1,Shape_Area,Date,Day,Slot_idx,Slot_name,Zone,Demand_share_pct,Uniform_patrol_pct,Static_patrol_pct,Dynamic_patrol_pct,Gap_Uniform_pp,Gap_Static_pp,Gap_Dynamic_pp,x_Uniform,x_Static,x_Dynamic
0,0,0.0,0.0,0.0,8,0.0,0,36512.26058,50474445.6,2024-12-31,Tuesday,5,Tue_Ngt,Zone 8,3.9307,12.5,12.5,12.5,8.5693,8.5693,8.5693,1,1,1
1,178010000,74280.336,179083706.8,72239.18,6,62154.46179,0,77702.74022,174114587.3,2024-12-31,Tuesday,5,Tue_Ngt,Zone 6,0.0,12.5,0.0,25.0,12.5,0.0,25.0,1,0,2
2,200770000,136683.46,165825898.8,101163.413,5,95407.29323,0,96508.6204,214541486.8,2024-12-31,Tuesday,5,Tue_Ngt,Zone 5,2.1189,12.5,0.0,0.0,10.3811,-2.1189,-2.1189,1,0,0
3,86112944,71740.281,86057206.32,71796.883,1,42110.06137,0,45303.96967,74298506.31,2024-12-31,Tuesday,5,Tue_Ngt,Zone 1,3.036,12.5,0.0,12.5,9.464,-3.036,9.464,1,0,1
4,67305832,34703.348,76690791.14,37459.463,2,37454.56745,0,37454.56745,76707238.04,2024-12-31,Tuesday,5,Tue_Ngt,Zone 2,2.024,12.5,0.0,12.5,10.476,-2.024,10.476,1,0,1
5,59947220,41142.273,92364649.82,50245.298,4,47858.3022,0,47858.3022,107356467.6,2024-12-31,Tuesday,5,Tue_Ngt,Zone 4,60.0014,12.5,62.5,37.5,-47.5014,2.4986,-22.5014,1,5,3
6,45315876,31739.078,68058519.84,37684.171,3,37928.22902,0,37928.22902,67972083.86,2024-12-31,Tuesday,5,Tue_Ngt,Zone 3,26.8651,12.5,12.5,0.0,-14.3651,-14.3651,-26.8651,1,1,0
7,111950000,63800.801,111873112.2,63935.684,7,68562.3844,0,56555.18924,147528805.5,2024-12-31,Tuesday,5,Tue_Ngt,Zone 7,2.024,12.5,12.5,0.0,10.476,10.476,-2.024,1,1,0
